Recipe Name,Recipe URL,Ingredients
Spaghetti Carbonara,https://www.allrecipes.com/recipe/spaghetti-carbonara,"4 cup Potatoes, 5 kg Rosemary, 2 cup Salt, 2 cup Black Pepper, 3 pinch Butter"
Chicken Curry,https://www.allrecipes.com/recipe/chicken-curry,"4 pinch Bread, 5 tbsp Avocado, 3 oz Tomatoes, 100 tbsp Feta Cheese, 1 oz Olive Oil"
Vegetable Stir Fry,https://www.allrecipes.com/recipe/vegetable-stir-fry,"200 g Shrimp, 4 oz Lime, 2 pinch Chili Flakes, 200 ml Coconut Milk, 5 ml Cilantro"
Beef Stroganoff,https://www.allrecipes.com/recipe/beef-stroganoff,"1 g Bell Peppers, 1 cup Mushrooms, 5 pinch Carrots, 4 L Broccoli, 5 g Soy Sauce"
Grilled Salmon,https://www.allrecipes.com/recipe/grilled-salmon,"2 g Bread, 4 ml Avocado, 100 tsp Tomatoes, 1 pinch Feta Cheese, 4 oz Olive Oil"
Lemon Garlic Shrimp,https://www.allrecipes.com/recipe/lemon-garlic-shrimp,"1 L Eggs, 100 cup Flour, 2 tsp Sugar, 1 L Baking Powder, 100 g Milk"
Avocado Toast,https://www.allrecipes.com/recipe/avocado-toast,"4 kg Potatoes, 1 tbsp Rosemary, 5 ml Salt, 4 tsp Black Pepper, 3 g Butter"
Tomato Basil Soup,https://www.allrecipes.com/recipe/tomato-basil-soup,"50 g Shrimp, 4 pinch Lime, 2 cup Chili Flakes, 5 pinch Coconut Milk, 200 pinch Cilantro"
Classic Margherita Pizza,https://www.allrecipes.com/recipe/classic-margherita-pizza,"5 L Eggs, 5 tbsp Flour, 200 g Sugar, 50 tbsp Baking Powder, 3 L Milk"
Banana Pancakes,https://www.allrecipes.com/recipe/banana-pancakes,"50 pinch Bread, 5 tsp Avocado, 2 oz Tomatoes, 200 tbsp Feta Cheese, 2 L Olive Oil"
Mushroom Risotto,https://www.allrecipes.com/recipe/mushroom-risotto,"50 L Potatoes, 4 tbsp Rosemary, 100 L Salt, 100 kg Black Pepper, 100 g Butter"
BBQ Chicken Wings,https://www.allrecipes.com/recipe/bbq-chicken-wings,"4 ml Eggs, 3 pinch Flour, 50 kg Sugar, 100 tbsp Baking Powder, 4 ml Milk"
Greek Salad,https://www.allrecipes.com/recipe/greek-salad,"4 cup Shrimp, 200 kg Lime, 50 tsp Chili Flakes, 200 ml Coconut Milk, 4 oz Cilantro"
Chocolate Brownies,https://www.allrecipes.com/recipe/chocolate-brownies,"2 tbsp Potatoes, 1 L Rosemary, 2 cup Salt, 200 g Black Pepper, 100 tbsp Butter"
Caesar Salad,https://www.allrecipes.com/recipe/caesar-salad,"200 pinch Potatoes, 200 tbsp Rosemary, 5 oz Salt, 4 g Black Pepper, 50 oz Butter"
French Onion Soup,https://www.allrecipes.com/recipe/french-onion-soup,"2 tsp Eggs, 100 L Flour, 200 ml Sugar, 2 kg Baking Powder, 200 L Milk"
Garlic Butter Steak,https://www.allrecipes.com/recipe/garlic-butter-steak,"4 tbsp Bell Peppers, 100 tbsp Mushrooms, 1 pinch Carrots, 3 oz Broccoli, 3 cup Soy Sauce"
Blueberry Muffins,https://www.allrecipes.com/recipe/blueberry-muffins,"2 tsp Eggs, 4 pinch Flour, 3 oz Sugar, 4 oz Baking Powder, 1 oz Milk"
Eggplant Parmesan,https://www.allrecipes.com/recipe/eggplant-parmesan,"50 tsp Beef, 3 oz Onion, 3 pinch Paprika, 2 tsp Tomato Paste, 4 pinch Black Pepper"
Lentil Soup,https://www.allrecipes.com/recipe/lentil-soup,"4 g Potatoes, 1 pinch Rosemary, 100 g Salt, 100 L Black Pepper, 200 cup Butter"
Tandoori Chicken,https://www.allrecipes.com/recipe/tandoori-chicken,"1 pinch Shrimp, 1 kg Lime, 3 kg Chili Flakes, 100 tbsp Coconut Milk, 2 L Cilantro"
Stuffed Bell Peppers,https://www.allrecipes.com/recipe/stuffed-bell-peppers,"1 oz Eggs, 3 L Flour, 1 oz Sugar, 1 cup Baking Powder, 5 tsp Milk"
Shepherd's Pie,https://www.allrecipes.com/recipe/shepherd's-pie,"2 tbsp Rice, 2 tbsp Soy Sauce, 4 tsp Ginger, 5 tbsp Sesame Oil, 5 g Green Onion"
Vegetable Korma,https://www.allrecipes.com/recipe/vegetable-korma,"4 ml Rice, 1 oz Soy Sauce, 3 g Ginger, 1 g Sesame Oil, 1 g Green Onion"
Penne Arrabbiata,https://www.allrecipes.com/recipe/penne-arrabbiata,"3 tsp Potatoes, 50 pinch Rosemary, 3 kg Salt, 3 ml Black Pepper, 4 pinch Butter"
Seafood Paella,https://www.allrecipes.com/recipe/seafood-paella,"200 tbsp Shrimp, 4 pinch Lime, 5 cup Chili Flakes, 4 tsp Coconut Milk, 100 L Cilantro"
Buffalo Cauliflower,https://www.allrecipes.com/recipe/buffalo-cauliflower,"5 L Salmon, 100 tsp Lemon, 2 tbsp Dill, 5 ml Butter, 4 oz Garlic"
